feature,importance
Init Bwd Win Byts,0.5920980354427204
Bwd Seg Size Avg,0.08830367014630464
Bwd Header Len,0.07144108160659837
Bwd Pkt Len Mean,0.04629372270413608
Src Port,0.04264016120409814
Tot Bwd Pkts,0.03737727588197389
Bwd IAT Tot,0.018917019319789626
TotLen Bwd Pkts,0.014019889980357522
Fwd Pkt Len Min,0.012787923556019909
Dst Port,0.009309512730569793
Fwd Pkt Len Max,0.008168719611164417
Flow IAT Min,0.007873398774066679
Flow IAT Mean,0.006727218319272833
Down/Up Ratio,0.006594722735162542
Subflow Bwd Byts,0.0038977274174579637
Pkt Len Mean,0.0031427694582769
Subflow Bwd Pkts,0.003052469750303738
Flow IAT Max,0.002800702619725926
Flow Pkts/s,0.002496075977027945
Bwd Pkt Len Std,0.0023175231446214413
Flow Byts/s,0.002281555625703991
Bwd Pkt Len Min,0.0021308497980983424
Fwd IAT Min,0.001876089279916023
Pkt Size Avg,0.0015288877584059455
Fwd IAT Mean,0.0013266997065164833
Bwd IAT Min,0.0010696947683288137
Active Min,0.00091949588655485
Fwd IAT Tot,0.0006603498848368715
Fwd IAT Std,0.000636150033985275
Bwd Pkt Len Max,0.0006224925602041015
Bwd Pkts/s,0.0006131327332691909
Flow Duration,0.000518199817633187
Active Mean,0.0005096488874487274
Subflow Fwd Pkts,0.00045831780771099663
Active Max,0.0004557930463119083
Fwd Pkts/s,0.00041920420319090275
Fwd Pkt Len Std,0.00040138898248985523
Fwd IAT Max,0.0003523536840628763
Active Std,0.00032560736795811586
Bwd IAT Max,0.00032537570102386535
Fwd Act Data Pkts,0.00028095029305925327
TotLen Fwd Pkts,0.00027036835095817875
Idle Min,0.00025698678102300854
Bwd IAT Std,0.00023418008622364876
Tot Fwd Pkts,0.00023251138071193222
Flow IAT Std,0.00019506353760233633
Idle Max,0.00016603302681341545
Bwd IAT Mean,0.00015490340942230188
Idle Std,0.00012040691092323353
Pkt Len Var,0.00011668335184134993
Idle Mean,8.432151664563928e-05
Pkt Len Max,5.542956436506035e-05
Subflow Fwd Byts,4.852277817270125e-05
Pkt Len Min,3.9117460606248636e-05
Fwd Seg Size Avg,3.0506427537306362e-05
Fwd Header Len,2.3107210795260625e-05
Protocol,0.0
Fwd Pkt Len Mean,0.0
Pkt Len Std,0.0
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd PSH Flags,0.0
Bwd URG Flags,0.0
SYN Flag Cnt,0.0
FIN Flag Cnt,0.0
Bwd Byts/b Avg,0.0
Fwd Blk Rate Avg,0.0
Bwd Blk Rate Avg,0.0
Bwd Pkts/b Avg,0.0
ECE Flag Cnt,0.0
CWE Flag Count,0.0
PSH Flag Cnt,0.0
RST Flag Cnt,0.0
ACK Flag Cnt,0.0
URG Flag Cnt,0.0
Fwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
Fwd Seg Size Min,0.0
Init Fwd Win Byts,0.0
